Teams,Week,Day,TimeEST,TimeCST,Place,LineTeamA,TotalTeamA,LineTeamB,TotalTeamB
Panthers vs. Broncos,1,08/09,20:30,19:30,"Sports Authority Field, Denver, Colorado",(-2½-110),(o43-110),(+2½-110),(u43-110)
Vikings vs. Titans,1,11/09,13:00,12:00,"LP Field, Nashville, Tennessee",(-3-110),(o42½-110),(+3-110),(u42½-110)
Bears vs. Texans,1,11/09,13:00,12:00,"NRG Stadium, Houston, Texas",(+6-115),(o44-110),(-6-105),(u44-110)
Browns vs. Eagles,1,11/09,13:00,12:00,"Lincoln Financial Field, Philadelphia, Pennsylvania",(+6½-110),(o45-110),(-6½-110),(u45-110)
Bills vs. Ravens,1,11/09,13:00,12:00,"M&T Bank Stadium, Baltimore, Maryland",(+2½+100),(o43-110),(-2½-120),(u43-110)
Chargers vs. Chiefs,1,11/09,13:00,12:00,"Arrowhead Stadium, Kansas City",(+6½-110),(o43-110),(-6½-110),(u43-110)
Raiders vs. Saints,1,11/09,13:00,12:00,"Mercedes-Benz Superdome, New Orleans",(+1½-115),(o50½-110),(-1½-105),(u50½-110)
Buccaneers vs. Falcons,1,11/09,13:00,12:00,"Georgia Dome, Atlanta",(+3+105),(o47½-110),(-3-125),(u47½-110)
Bengals vs. Jets,1,11/09,13:00,12:00,"MetLife Stadium, East Rutherford",(-2-110),(o41½-110),(+2-110),(u41½-110)
Packers vs. Jaguars,1,11/09,13:00,12:00,"EverBank Field, Jacksonville",(-4-115),(o47-110),(+4-105),(u47-110)
Dolphins vs. Seahawks,1,11/09,16:05,15:05,"CenturyLink Field, Seattle",(+8½-105),(o44-110),(-8½-115),(u44-110)
Giants vs. Cowboys,1,11/09,16:25,15:25,"AT&T Stadium, Arlington",(+3½-110),(o49-110),(-3½-110),(u49-110)
Lions vs. Colts,1,11/09,16:25,15:25,"Lucas Oil Stadium, Indianapolis",(+5-105),(o49-110),(-5-115),(u49-110)
Patriots vs. Cardinals,1,11/09,20:30,19:30,"University of Phoenix Stadium, Glendale",,,,
Steelers vs. Redskins,1,12/09,19:10,18:10,"FedExField, Landover",(-3-120),(o50½-110),(+3+100),(u50½-110)
Rams vs. 49ers,1,12/09,22:20,21:20,Levi's Stadium,(-2-110),(o46-110),(+2-110),(u46-110)
Jets vs. Bills,2,15/09,22:25,21:25,"Ralph Wilson Stadium, Orchard Park",,,,
Saints vs. Giants,2,18/09,13:00,12:00,"MetLife Stadium, East Rutherford",,,,
Titans vs. Lions,2,18/09,13:00,12:00,"Ford Field, Detroit",,,,
Cowboys vs. Redskins,2,18/09,13:00,12:00,"FedExField, Landover",,,,
Chiefs vs. Texans,2,18/09,13:00,12:00,"NRG Stadium, Houston",,,,
Dolphins vs. Patriots,2,18/09,13:00,12:00,"Gillette Stadium, Foxborough",,,,
Ravens vs. Browns,2,18/09,13:00,12:00,"FirstEnergy Stadium, Cleveland",,,,
49ers vs. Panthers,2,18/09,13:00,12:00,"Bank of America Stadium, Charlotte",,,,
Bengals vs. Steelers,2,18/09,13:00,12:00,"Heinz Field, Pittsburgh",,,,
Buccaneers vs. Cardinals,2,18/09,16:05,15:05,"University of Phoenix Stadium, Glendale",,,,
Seahawks vs. Rams,2,18/09,16:05,15:05,Los Angeles Memorial Coliseum,,,,
Falcons vs. Raiders,2,18/09,16:25,15:25,"O.co Coliseum, Oakland",,,,
Jaguars vs. Chargers,2,18/09,16:25,15:25,"Qualcomm Stadium, San Diego",,,,
Colts vs. Broncos,2,18/09,16:25,15:25,"Sports Authority Field, Denver",,,,
Packers vs. Vikings,2,18/09,20:30,19:30,U.S. Bank Stadium,,,,
Eagles vs. Bears,2,19/09,20:30,19:30,"Soldier Field, Chicago",,,,
Texans vs. Patriots,3,22/09,20:25,19:25,"Gillette Stadium, Foxborough",,,,
Ravens vs. Jaguars,3,25/09,13:00,12:00,"EverBank Field, Jacksonville",,,,
Redskins vs. Giants,3,25/09,13:00,12:00,"MetLife Stadium, East Rutherford",,,,
Lions vs. Packers,3,25/09,13:00,12:00,"Lambeau Field, Green Bay",,,,
Browns vs. Dolphins,3,25/09,13:00,12:00,"Sun Life Stadium, Miami Gardens",,,,
Vikings vs. Panthers,3,25/09,13:00,12:00,"Bank of America Stadium, Charlotte",,,,
Broncos vs. Bengals,3,25/09,13:00,12:00,"Paul Brown Stadium, Cincinnati",,,,
Cardinals vs. Bills,3,25/09,13:00,12:00,"Ralph Wilson Stadium, Orchard Park",,,,
Raiders vs. Titans,3,25/09,13:00,12:00,"LP Field, Nashville",,,,
Rams vs. Buccaneers,3,25/09,16:05,15:05,"Raymond James Stadium, Tampa",,,,
49ers vs. Seahawks,3,25/09,16:05,15:05,"CenturyLink Field, Seattle",,,,
Steelers vs. Eagles,3,25/09,16:25,15:25,"Lincoln Financial Field, Philadelphia",,,,
Jets vs. Chiefs,3,25/09,16:25,15:25,"Arrowhead Stadium, Kansas City",,,,
Chargers vs. Colts,3,25/09,16:25,15:25,"Lucas Oil Stadium, Indianapolis",,,,
Bears vs. Cowboys,3,25/09,20:30,19:30,"AT&T Stadium, Arlington",,,,
Falcons vs. Saints,3,26/09,20:30,19:30,"Mercedes-Benz Superdome, New Orleans",,,,
Dolphins vs. Bengals,4,29/09,20:25,19:25,"Paul Brown Stadium, Cincinnati",,,,
Colts vs. Jaguars,4,02/10,9:30,8:30,Wembley Stadium,,,,
Bills vs. Patriots,4,02/10,13:00,12:00,"Gillette Stadium, Foxborough",,,,
Titans vs. Texans,4,02/10,13:00,12:00,"NRG Stadium, Houston",,,,
Lions vs. Bears,4,02/10,13:00,12:00,"Soldier Field, Chicago",,,,
Panthers vs. Falcons,4,02/10,13:00,12:00,"Georgia Dome, Atlanta",,,,
Seahawks vs. Jets,4,02/10,13:00,12:00,"MetLife Stadium, East Rutherford",,,,
Raiders vs. Ravens,4,02/10,13:00,12:00,"M&T Bank Stadium, Baltimore",,,,
Browns vs. Redskins,4,02/10,13:00,12:00,"FedExField, Landover",,,,
Broncos vs. Buccaneers,4,02/10,16:05,15:05,"Raymond James Stadium, Tampa",,,,
Rams vs. Cardinals,4,02/10,16:25,15:25,"University of Phoenix Stadium, Glendale",,,,
Cowboys vs. 49ers,4,02/10,16:25,15:25,Levi's Stadium,,,,
Saints vs. Chargers,4,02/10,16:25,15:25,"Qualcomm Stadium, San Diego",,,,
Chiefs vs. Steelers,4,02/10,20:30,19:30,"Heinz Field, Pittsburgh",,,,
Giants vs. Vikings,4,03/10,20:30,19:30,U.S. Bank Stadium,,,,
Cardinals vs. 49ers,5,06/10,20:25,19:25,Levi's Stadium,,,,
Texans vs. Vikings,5,09/10,13:00,12:00,U.S. Bank Stadium,,,,
Bears vs. Colts,5,09/10,13:00,12:00,"Lucas Oil Stadium, Indianapolis",,,,
Jets vs. Steelers,5,09/10,13:00,12:00,"Heinz Field, Pittsburgh",,,,
Titans vs. Dolphins,5,09/10,13:00,12:00,"Sun Life Stadium, Miami Gardens",,,,
